Time,G1,G2,G3,G4,G5,G6,G7,G8,G9,G10,G11,G12
0,38,36,36,34,38,39,36,37,35,35,35,38
8,38,36,36,35,36,39,36,37,36,35,35,36
16,38,36,36,38,37,39,37,37,35,35,37,36
24,38,36,36,37,37,40,37,37,37,36,38,36
32,39,36,37,37,38,40,37,37,35,36,39,37
40,39,36,37,37,38,40,38,37,36,38,39,37
48,39,36,37,38,39,40,37,37,38,38,39,37
56,39,37,37,39,39,41,39,39,38,39,39,37
64,39,37,37,39,39,41,37,40,38,39,39,40
72,42,38,37,39,39,41,38,40,40,41,40,38
80,41,38,40,40,39,41,38,40,40,39,40,38
88,42,38,38,40,40,42,38,40,40,41,41,38
96,42,39,38,40,40,43,38,40,40,41,41,39
104,44,40,39,40,40,43,38,41,40,42,41,41
112,44,40,40,40,40,43,38,40,40,43,41,41
120,44,40,40,41,40,43,40,40,40,42,43,41
128,44,40,41,41,41,43,39,40,40,42,43,41
136,44,41,41,41,40,43,39,40,41,42,43,40
144,44,41,43,42,40,44,39,40,40,42,43,41
152,44,41,43,41,40,44,40,42,42,42,43,41
160,44,41,43,42,42,44,40,41,42,42,44,41
168,44,41,43,42,41,44,40,42,42,42,47,41
176,44,41,43,42,41,44,40,42,42,44,47,41
184,44,41,43,42,41,44,40,42,42,44,47,42
192,46,41,43,43,42,44,40,42,42,44,47,43
200,46,41,43,43,42,44,40,42,42,44,47,43
208,46,43,43,43,41,44,40,42,42,44,45,43
216,46,43,43,43,43,44,40,43,42,44,45,43
224,46,43,44,43,41,44,40,43,42,44,45,43
232,46,43,44,43,42,44,41,43,43,44,45,43
240,46,43,43,45,42,44,41,43,43,45,45,43
248,46,43,43,45,41,45,42,43,42,45,46,44
256,46,44,43,45,43,45,42,43,42,45,46,43
264,46,44,44,45,42,45,43,44,42,45,46,43
272,46,44,44,45,42,45,42,43,44,45,46,43
280,46,44,44,45,42,45,42,43,43,45,46,43
288,46,44,44,45,42,45,42,43,43,45,46,43
296,46,44,44,45,42,45,42,43,43,45,46,43
304,46,44,44,45,43,45,42,43,44,45,46,43
312,46,45,45,45,44,46,42,43,44,45,46,43
320,46,44,44,45,44,45,43,43,44,45,46,43
328,46,44,45,45,44,45,43,43,44,45,47,44
336,46,44,45,45,43,45,43,43,44,45,47,43
344,46,44,45,45,44,45,43,43,44,47,46,43
352,46,44,45,45,43,45,44,43,44,46,46,45
360,46,44,45,45,43,45,44,43,44,46,46,43
368,46,44,45,45,43,45,45,43,44,46,46,43
376,46,44,45,45,43,45,45,43,44,46,47,44
384,46,44,45,45,45,45,45,43,44,46,47,44
392,46,45,45,45,45,46,44,43,45,46,47,44
400,46,46,45,46,45,46,44,44,45,46,47,44
408,46,46,46,46,45,46,45,44,45,46,47,44
416,46,46,46,46,45,46,45,44,45,46,47,44
424,46,47,46,46,45,46,45,44,45,46,47,44
432,46,46,45,46,45,46,45,44,45,46,47,44
440,46,46,45,46,46,46,45,44,45,46,47,44
448,46,46,45,46,46,46,45,44,45,46,47,44
456,46,46,45,46,46,46,45,44,45,46,47,44
464,46,46,46,46,46,46,45,44,45,46,47,44
472,46,47,46,46,46,46,45,44,45,46,47,45
480,46,47,46,46,46,46,45,44,45,46,47,45
488,46,47,46,46,46,46,45,44,45,46,47,45
496,46,47,46,46,46,46,45,44,45,46,47,45
504,46,47,46,46,46,46,45,44,45,46,47,45
512,46,47,46,46,46,46,45,45,45,46,47,45
520,46,47,46,47,46,46,45,44,45,46,47,46
528,46,47,46,46,46,46,45,44,45,47,47,46
536,46,47,46,46,46,46,46,44,45,46,47,45
544,46,47,46,46,46,46,46,44,45,46,47,45
552,46,47,46,46,46,47,46,44,45,46,47,45
560,47,47,46,46,46,47,46,44,45,46,47,45
568,46,47,46,46,47,47,46,44,45,46,47,45
576,46,47,46,46,47,47,46,45,45,46,47,45
584,46,47,46,46,47,47,46,45,45,46,47,45
592,46,47,47,46,47,47,46,45,45,46,47,45
600,46,47,47,46,47,47,46,45,45,46,47,45
608,46,47,47,46,47,47,46,45,45,46,47,46
616,46,47,47,47,47,47,46,45,46,46,47,46
624,46,47,47,48,47,47,46,45,46,46,47,47
632,46,47,47,47,48,47,46,45,46,46,47,47
640,46,47,47,47,48,47,46,45,46,46,47,47
648,46,47,47,47,48,47,46,45,46,46,47,47
656,46,47,47,47,48,47,46,45,46,46,47,47
664,46,47,47,47,48,47,46,45,46,46,47,47
672,46,47,47,47,48,47,46,45,46,46,47,47
680,46,47,47,47,48,47,47,45,46,46,47,47
688,46,47,47,47,48,47,47,45,46,46,47,47
696,46,47,47,47,48,47,47,45,46,46,48,47
704,46,47,47,47,48,47,47,45,46,46,48,47
712,46,47,47,47,48,47,47,45,46,46,48,47
720,46,47,47,47,48,47,47,45,46,46,48,47
728,46,47,47,47,48,47,47,45,46,46,48,47
736,46,47,47,47,48,47,47,45,46,46,48,47
744,46,47,47,47,48,47,47,45,46,46,48,47
752,46,47,47,47,48,47,47,45,46,46,48,47
760,46,47,47,47,48,47,47,45,48,46,48,47
768,46,47,47,47,48,47,47,45,48,46,48,47
776,46,47,47,47,48,47,47,45,48,46,48,47
784,46,47,47,47,48,47,47,45,48,46,48,47
792,46,47,47,47,48,47,47,45,48,46,48,47
